Anglés 2 ESO
Irregular verbs #2
https://llagosti.wordpress.com/


Infinitive	Past simple	Part participle		Translation

drive		drove		driven			conduir
eat		ate		eaten			menjar
fall		fell		fallen			caure's
feed		fed		fed			alimentar-se
feel		felt		felt			sentir-se
fight		fought		fought			lluïtar
find		found		found			buscar
fly		flew		flown			volar
forget		forgot		forgotten		olvidar
get		got		got			aconseguir
give		gave		given			donar
go		went		gone			anar
grow		grew		grown			créixer
have		had		had			haver, tenir
hear		heard		heard			sentir
hide		hide		hidden			amagar
hit		hit		hit			colpejar
hold		held		held			subjectar
